epoch loss acc val_acc
001 0.65530 0.6826 0.7170
002 0.47416 0.7898 0.8072
003 0.39748 0.8407 0.8254
004 0.35296 0.8387 0.8876
005 0.31582 0.8753 0.8928
006 0.39310 0.8445 0.9092
007 0.27258 0.8795 0.8782
008 0.28018 0.8893 0.8654
009 0.31764 0.8790 0.8450
010 0.38651 0.8541 0.9116
011 0.23910 0.9059 0.9372
012 0.35747 0.8728 0.9218
013 0.47855 0.8361 0.8360
014 0.21691 0.9244 0.9416
015 0.21774 0.9176 0.9166
016 0.16694 0.9433 0.8746
017 0.21413 0.9165 0.9188
018 0.21448 0.9284 0.9332
019 0.42152 0.8752 0.9142
020 0.29411 0.9075 0.9000
021 0.24281 0.9199 0.9418
022 0.18893 0.9431 0.9238
023 0.27844 0.9039 0.8968
024 0.25759 0.9287 0.9466
025 0.21608 0.9198 0.9554
026 0.26714 0.9302 0.9670
027 0.38389 0.9104 0.9596
028 0.36725 0.8852 0.8890
029 0.24491 0.9298 0.9338
030 0.20806 0.9503 0.9568
031 0.37295 0.8870 0.9498
032 0.19707 0.9367 0.9362
033 0.16487 0.9398 0.9306
034 0.13026 0.9455 0.9632
035 0.11213 0.9521 0.9468
036 0.11240 0.9532 0.9674
037 0.20723 0.9208 0.9618
038 0.11842 0.9506 0.9520
039 0.12797 0.9521 0.9546
040 0.12278 0.9472 0.9724
041 0.13578 0.9375 0.9190
042 0.29784 0.9047 0.9074
043 0.13758 0.9516 0.9690
044 0.12241 0.9532 0.9650
045 0.09498 0.9636 0.9568
046 0.21307 0.9236 0.9734
047 0.14165 0.9331 0.9362
048 0.13833 0.9412 0.9306
049 0.30768 0.9006 0.9164
050 0.15753 0.9433 0.9528
051 0.13133 0.9477 0.9432
052 0.10075 0.9594 0.9660
053 0.11376 0.9531 0.9534
054 0.12708 0.9490 0.9642
055 0.08911 0.9586 0.9640
056 0.11091 0.9562 0.9674
057 0.09683 0.9600 0.9662
058 0.08725 0.9625 0.9358
059 0.14853 0.9423 0.9440
060 0.09821 0.9583 0.9564
061 0.08450 0.9644 0.9716
062 0.11205 0.9519 0.9796
063 0.10349 0.9584 0.9748
064 0.08943 0.9684 0.9636
065 0.10398 0.9547 0.9502
066 0.16011 0.9353 0.9450
067 0.10057 0.9640 0.9484
068 0.13352 0.9495 0.9356
069 0.08898 0.9661 0.9686
070 0.07938 0.9678 0.9512
071 0.06679 0.9734 0.9806
072 0.15344 0.9428 0.9240
073 0.15383 0.9359 0.9728
074 0.07793 0.9662 0.9724
075 0.09375 0.9587 0.9738
076 0.13578 0.9424 0.9740
077 0.18249 0.9340 0.9710
078 0.08918 0.9615 0.9684
079 0.07377 0.9658 0.9648
080 0.10715 0.9566 0.9682
081 0.08247 0.9702 0.9556
082 0.07626 0.9666 0.9256
083 0.10975 0.9612 0.9804
084 0.08223 0.9667 0.9626
085 0.07671 0.9665 0.9774
086 0.09581 0.9694 0.9156
087 0.08481 0.9597 0.9654
088 0.13571 0.9470 0.9724
089 0.11540 0.9529 0.9752
090 0.13110 0.9432 0.9408
091 0.08314 0.9665 0.9700
092 0.10214 0.9581 0.9428
093 0.09420 0.9643 0.9714
094 0.09106 0.9586 0.9656
095 0.14041 0.9382 0.9756
096 0.12077 0.9554 0.9786
097 0.07932 0.9684 0.9684
098 0.13609 0.9381 0.9734
099 0.09960 0.9544 0.9664
100 0.05866 0.9731 0.9688
